gene_name	mouse_entrez_id	AgeMap.Heart	GDS2972.Heart	GDS40.Heart	GSE11291.Heart	GSE12480.Heart	total_effect	total_p_values	adjusted_p_values
PZP	11287	0.0028942520356188724	0.029235909970154225	0.04794631966323948	0.017411424321317134	0.01185402900476187	0.014255092863412783	0.017024423683791312	0.05443500203071123
ABCA1	11303	0.0007929688143365945	-0.013103617246951124	-0.010956297258426728	-0.010966449926703412	0.007893890306349235	-0.002759286563040108	0.3742468848614505	0.5732075470052271
ABL1	11350	-0.0038446509657168314	-0.006016236350997642	0.0008572614803124823	0.013898327129472449	-0.00332706509365081	-0.0009677234266200487	0.7489306071071387	0.8605732646345894
ABL2	11352	-0.004590921763223512	not_pres	not_pres	0.017498089043015724	-0.0018603595476190844	0.0027223977475832454	0.5999704531256547	0.7602403552813761
ACADL	11363	-0.005920641606322351	-0.01718885525006486	-0.0024206604087892436	0.00185364770673431	-0.009287831359523914	-0.00679269318629731	0.01391966486154439	0.04610183978049588
ACADM	11364	0.0006250854131789843	-0.007352233652380913	0.0060409526382536605	0.004681486229970347	-0.01116313561904772	-0.004798372157022302	0.11376449462592853	0.25527368482275714
ACADVL	11370	0.0030654260369545865	0.0036820887233614263	-0.09599105313880905	0.005853429866819138	-0.01183003900000009	-0.0009326152470766359	0.8299100072536488	0.9074249074168156
ACADS	11409	0.005760089755565446	-0.0025975723320056654	-0.00491251809994353	0.010579816643709508	-0.02780183471428581	0.0002931726295248636	0.930514484823159	0.9642766929791537
ASIC2	11418	0.008131263214603746	-0.01380554664651916	0.04182081110020683	0.011709257252627336	-0.001629117638095253	-0.00159900204133583	0.009529366815213325	0.03387243187839351
ACO1	11428	0.009469508458593054	0.012810363240412848	-0.01928013099146661	-0.006378528622299193	-0.002595763396825431	-0.0011487350480174974	0.6318095536665713	0.7829610812114242
ACO2	11429	-0.005873112776491548	-0.009387365574922507	0.0029540199822760127	0.008989558967262307	-0.005219993428571518	-0.0037566231290120586	0.2000338404176949	0.3817556965393734
ACP1	11431	-0.00544975894568122	0.0006217181527164162	0.03804413154965558	-0.0045682360984038856	0.009742836437301474	-0.00109577332344005	0.5786097141809778	0.745230950101378
